	preSwitchB/CD19pos	switchB/CD19pos	CD45pos/PBMC	transitionals/naiveB	BCells/CD45pos	IgApos/switchB	naiveB/CD19pos	exhaustedB/CD19pos	plasmablasts/switchB
9581785	0.0744	0.0963	0.996	0.0554	0.0437	0.38	0.8009999999999999	0.028	0.085
9581790	0.152	0.0971	0.996	0.051	0.113	0.401	0.733	0.0181	0.033
9581817	0.113	0.171	0.991	0.0451	0.0493	0.369	0.677	0.0388	0.099
9581827	0.113	0.174	0.998	0.0519	0.0595	0.407	0.6779999999999999	0.0349	0.112
9581844	0.106	0.101	0.998	0.0241	0.0386	0.465	0.757	0.0365	0.0758
9581874	0.0646	0.0701	0.996	0.0462	0.0818	0.415	0.846	0.0192	0.121
9581875	0.138	0.178	0.998	0.0764	0.037	0.4320000000000001	0.659	0.0246	0.136
9581882	0.0904	0.134	0.997	0.0422	0.025	0.443	0.698	0.0771	0.165
9581889	0.177	0.122	0.996	0.0417	0.0415	0.0621	0.667	0.0338	0.0311
9581890	0.109	0.185	0.999	0.064	0.0636	0.399	0.669	0.0379	0.1639999999999999
9581898	0.11	0.141	0.998	0.0724	0.0751999999999999	0.291	0.705	0.0434	0.035
9179031	0.253	0.222	0.998	0.0252	0.0509	0.299	0.478	0.0471	0.0881
9179033	0.31	0.224	0.998	0.02	0.0569	0.36	0.43	0.036	0.11
9536812	0.231	0.22	0.992	0.0218	0.0298	0.455	0.499	0.0501	0.0306
9179052	0.0565	0.107	0.998	0.0127	0.0776	0.449	0.78	0.0564	0.0846
9179053	0.171	0.192	0.996	0.0457	0.0205	0.386	0.562	0.0754	0.175
9179069	0.134	0.234	0.998	0.0158	0.0415	0.4920000000000001	0.5589999999999999	0.0733	0.0234
9179075	0.165	0.161	0.998	0.0336	0.0857	0.36	0.621	0.0519	0.0349
9179076	0.1369999999999999	0.185	0.998	0.0372	0.0505	0.317	0.644	0.0339	0.073
9179086	0.146	0.15	0.998	0.0356	0.0503	0.351	0.67	0.0333	0.0667
9179092	0.261	0.276	0.995	0.0409	0.02	0.439	0.426	0.0371	0.282
9179105	0.278	0.163	0.993	0.0367	0.0602	0.536	0.521	0.0376	0.0496
9179106	0.105	0.18	0.997	0.0476	0.0856	0.325	0.6459999999999999	0.0696	0.0376
9179114	0.181	0.136	0.992	0.0266	0.0997	0.364	0.6459999999999999	0.0366	0.0337
9179124	0.177	0.156	0.995	0.0273	0.051	0.0666	0.636	0.0309	0.0269
9179129	0.126	0.123	0.998	0.0181	0.054	0.393	0.701	0.0495	0.0224
9581937	0.0689	0.128	0.996	0.0223	0.0548	0.545	0.767	0.037	0.187
9581943	0.0831	0.187	0.999	0.0597	0.0776999999999999	0.395	0.6579999999999999	0.0718	0.165
9581944	0.0572	0.263	0.996	0.0272	0.0681	0.269	0.5660000000000001	0.114	0.0648
9581945	0.126	0.212	0.999	0.0066	0.0592	0.0093	0.581	0.0813	0.0745
9581946	0.0809	0.203	0.998	0.0268	0.109	0.292	0.677	0.039	0.527
9581952	0.124	0.135	0.998	0.0198	0.0474	0.385	0.7020000000000001	0.0392	0.109
9581957	0.185	0.16	0.996	0.0263	0.0652	0.0633	0.5870000000000001	0.0677	0.0398
9581959	0.212	0.282	0.995	0.0261	0.0584	0.297	0.453	0.053	0.0559
9581962	0.105	0.163	0.993	0.021	0.0635	0.0898	0.6890000000000001	0.0438	0.0604
9581973	0.0626	0.134	0.996	0.0365	0.127	0.762	0.727	0.0765	0.0309
9581978	0.139	0.143	0.998	0.0422	0.074	0.038	0.6409999999999999	0.0766	0.0561
9591423	0.353	0.14	0.998	0.0161	0.0593	0.0486	0.471	0.0358	0.0343
9467619	0.161	0.0966	0.995	0.0464	0.0737	0.335	0.701	0.0418	0.0443
9467727	0.0977	0.126	0.995	0.0288	0.0748	0.247	0.7290000000000001	0.0478	0.0299
9467729	0.0339	0.0686	0.995	0.0525	0.0995	0.35	0.8740000000000001	0.024	0.0357
9536224	0.0724	0.147	0.996	0.023	0.089	0.393	0.687	0.0937	0.0396
9536225	0.0755	0.157	0.998	0.0256	0.0587	0.0816	0.73	0.0376	0.026
9536347	0.245	0.292	0.984	0.0079	0.049	0.429	0.386	0.0779	0.115
9581599	0.1	0.144	0.99	0.0678	0.0581	0.059	0.7040000000000001	0.0516	0.0333
9581694	0.0597	0.116	0.996	0.0318	0.0439	0.454	0.7979999999999999	0.0265	0.158
9581697	0.058	0.0577	0.998	0.0497	0.0711	0.361	0.851	0.0331	0.213
9581796	0.394	0.157	0.997	0.0395	0.0657	0.512	0.419	0.0302	0.0512
9581861	0.0546	0.0718	0.998	0.0341	0.0933	0.344	0.8059999999999999	0.0674	0.0803
9581864	0.0886	0.0802	0.994	0.0267	0.046	0.4320000000000001	0.79	0.041	0.0359
9581865	0.0746	0.122	0.999	0.0316	0.0595	0.4970000000000001	0.622	0.181	0.0215
9179038	0.253	0.1669999999999999	0.999	0.0395	0.0917	0.351	0.521	0.0597	0.0205
9179102	0.162	0.124	0.995	0.0443	0.0762	0.418	0.6809999999999999	0.0326	0.0976
